image_id,num_boards,note
786,4,ok
787,5,ok
788,5,ok
789,4,ok
790,4,ok
791,4,ok
792,4,ok
793,4,ok
794,5,ok
795,5,ok
796,5,ok
797,6,ok
798,7,ok
799,5,ok
800,4,ok
801,4,ok
802,4,ok
803,6,ok
804,5,ok
805,4,ok
806,5,ok
807,5,ok
808,4,ok
809,4,ok
810,4,ok
811,4,ok
812,5,ok
813,5,ok
814,4,ok
815,5,ok
816,7,ok
817,6,ok
818,6,ok
819,4,ok
